City,level_1,pollutants,avg_aqi_2022_2025,Good,Moderate,Poor,Satisfactory,Severe,Very Poor,population,per_capita_income,category,0
Kolkata,top2_pollutant,PM2.5 (529),102.02844444444445,286,286,129,418,0,6,15845219,154000,Tier 1,PM2.5 (529)
Kolkata,top3_pollutant,O3 (398),102.02844444444445,286,286,129,418,0,6,15845219,154000,Tier 1,O3 (398)
Kolkata,top4_pollutant,NO2 (191),102.02844444444445,286,286,129,418,0,6,15845219,154000,Tier 1,NO2 (191)
Kolkata,top5_pollutant,CO (69),102.02844444444445,286,286,129,418,0,6,15845219,154000,Tier 1,CO (69)
Lucknow,top1_pollutant,PM2.5 (839),131.12355555555555,91,528,172,330,0,4,4132671,125000,Tier 2,PM2.5 (839)
Lucknow,top2_pollutant,PM10 (669),131.12355555555555,91,528,172,330,0,4,4132671,125000,Tier 2,PM10 (669)
Lucknow,top3_pollutant,CO (143),131.12355555555555,91,528,172,330,0,4,4132671,125000,Tier 2,CO (143)
Lucknow,top4_pollutant,O3 (115),131.12355555555555,91,528,172,330,0,4,4132671,125000,Tier 2,O3 (115)
Lucknow,top5_pollutant,NO2 (54),131.12355555555555,91,528,172,330,0,4,4132671,125000,Tier 2,NO2 (54)
Madurai,top1_pollutant,PM10 (183),55.919786096256686,80,4,0,103,0,0,1911646,140000,Tier 2,PM10 (183)
Madurai,top2_pollutant,SO2 (3),55.919786096256686,80,4,0,103,0,0,1911646,140000,Tier 2,SO2 (3)
Madurai,top3_pollutant,CO (1),55.919786096256686,80,4,0,103,0,0,1911646,140000,Tier 2,CO (1)
Meerut,top1_pollutant,PM10 (734),158.3505798394291,99,446,263,238,1,74,1874886,130000,Tier 2,PM10 (734)
Meerut,top2_pollutant,PM2.5 (518),158.3505798394291,99,446,263,238,1,74,1874886,130000,Tier 2,PM2.5 (518)
Meerut,top3_pollutant,O3 (185),158.3505798394291,99,446,263,238,1,74,1874886,130000,Tier 2,O3 (185)
Meerut,top4_pollutant,CO (119),158.3505798394291,99,446,263,238,1,74,1874886,130000,Tier 2,CO (119)
Meerut,top5_pollutant,NO2 (34),158.3505798394291,99,446,263,238,1,74,1874886,130000,Tier 2,NO2 (34)
Mumbai,top1_pollutant,PM10 (831),105.93327402135232,108,450,61,505,0,0,22088953,413000,Tier 1,PM10 (831)
Mumbai,top2_pollutant,PM2.5 (597),105.93327402135232,108,450,61,505,0,0,22088953,413000,Tier 1,PM2.5 (597)
Mumbai,top3_pollutant,CO (261),105.93327402135232,108,450,61,505,0,0,22088953,413000,Tier 1,CO (261)
Mumbai,top4_pollutant,O3 (245),105.93327402135232,108,450,61,505,0,0,22088953,413000,Tier 1,O3 (245)
Mumbai,top5_pollutant,NO2 (217),105.93327402135232,108,450,61,505,0,0,22088953,413000,Tier 1,NO2 (217)
Nagpur,top1_pollutant,PM10 (646),111.11371841155234,184,437,100,378,0,9,3170178,277603,Tier 2,PM10 (646)
Nagpur,top2_pollutant,PM2.5 (554),111.11371841155234,184,437,100,378,0,9,3170178,277603,Tier 2,PM2.5 (554)
Nagpur,top3_pollutant,O3 (140),111.11371841155234,184,437,100,378,0,9,3170178,277603,Tier 2,O3 (140)
Nagpur,top4_pollutant,CO (91),111.11371841155234,184,437,100,378,0,9,3170178,277603,Tier 2,CO (91)
Nagpur,top5_pollutant,NH3 (1),111.11371841155234,184,437,100,378,0,9,3170178,277603,Tier 2,NH3 (1)
Nashik,top1_pollutant,PM10 (726),84.610337972167,264,300,14,428,0,0,2351139,168000,Tier 2,PM10 (726)
Nashik,top2_pollutant,PM2.5 (473),84.610337972167,264,300,14,428,0,0,2351139,168000,Tier 2,PM2.5 (473)
Nashik,top3_pollutant,O3 (142),84.610337972167,264,300,14,428,0,0,2351139,168000,Tier 2,O3 (142)
Nashik,top4_pollutant,CO (92),84.610337972167,264,300,14,428,0,0,2351139,168000,Tier 2,CO (92)
Nashik,top5_pollutant,NO2 (14),84.610337972167,264,300,14,428,0,0,2351139,168000,Tier 2,NO2 (14)
Patna,top1_pollutant,PM2.5 (880),179.92711111111112,23,391,318,262,8,123,2689544,120000,Tier 2,PM2.5 (880)
Patna,top2_pollutant,PM10 (862),179.92711111111112,23,391,318,262,8,123,2689544,120000,Tier 2,PM10 (862)
Patna,top3_pollutant,NO2 (122),179.92711111111112,23,391,318,262,8,123,2689544,120000,Tier 2,NO2 (122)
Patna,top4_pollutant,O3 (109),179.92711111111112,23,391,318,262,8,123,2689544,120000,Tier 2,O3 (109)
Patna,top5_pollutant,CO (62),179.92711111111112,23,391,318,262,8,123,2689544,120000,Tier 2,CO (62)
Pune,top1_pollutant,PM2.5 (532),111.97297297297295,64,553,22,321,0,2,7525717,278000,Tier 1,PM2.5 (532)
Pune,top2_pollutant,PM10 (504),111.97297297297295,64,553,22,321,0,2,7525717,278000,Tier 1,PM10 (504)
Pune,top3_pollutant,NO2 (340),111.97297297297295,64,553,22,321,0,2,7525717,278000,Tier 1,NO2 (340)
Pune,top4_pollutant,CO (252),111.97297297297295,64,553,22,321,0,2,7525717,278000,Tier 1,CO (252)
Pune,top5_pollutant,O3 (241),111.97297297297295,64,553,22,321,0,2,7525717,278000,Tier 1,O3 (241)
Surat,top1_pollutant,PM2.5 (259),116.57142857142856,109,158,107,317,0,16,8581733,180000,Tier 2,PM2.5 (259)
Surat,top2_pollutant,CO (206),116.57142857142856,109,158,107,317,0,16,8581733,180000,Tier 2,CO (206)
Surat,top3_pollutant,PM10 (174),116.57142857142856,109,158,107,317,0,16,8581733,180000,Tier 2,PM10 (174)
Surat,top4_pollutant,NO2 (48),116.57142857142856,109,158,107,317,0,16,8581733,180000,Tier 2,NO2 (48)
Surat,top5_pollutant,SO2 (20),116.57142857142856,109,158,107,317,0,16,8581733,180000,Tier 2,SO2 (20)
Thiruvananthapuram,top1_pollutant,PM10 (794),54.150268336314845,591,31,7,489,0,0,3072532,145000,Tier 2,PM10 (794)
Thiruvananthapuram,top2_pollutant,CO (311),54.150268336314845,591,31,7,489,0,0,3072532,145000,Tier 2,CO (311)
Thiruvananthapuram,top3_pollutant,PM2.5 (310),54.150268336314845,591,31,7,489,0,0,3072532,145000,Tier 2,PM2.5 (310)
Thiruvananthapuram,top4_pollutant,NO2 (84),54.150268336314845,591,31,7,489,0,0,3072532,145000,Tier 2,NO2 (84)
Thiruvananthapuram,top5_pollutant,O3 (83),54.150268336314845,591,31,7,489,0,0,3072532,145000,Tier 2,O3 (83)
Tiruchirappalli,top1_pollutant,PM10 (179),61.35897435897436,78,7,0,109,0,1,1269897,142000,Tier 2,PM10 (179)
