,area,month,state,aqi_value
2370,Cuddalore,2024-02,Tamil Nadu,64.44827586206897
2371,Cuddalore,2024-03,Tamil Nadu,62.37931034482759
2372,Cuddalore,2024-04,Tamil Nadu,78.66666666666667
2373,Cuddalore,2024-05,Tamil Nadu,43.357142857142854
2374,Cuddalore,2024-06,Tamil Nadu,36.111111111111114
2375,Cuddalore,2024-07,Tamil Nadu,27.766666666666666
2376,Cuddalore,2024-08,Tamil Nadu,28.76
2377,Cuddalore,2024-09,Tamil Nadu,34.4
2378,Cuddalore,2024-10,Tamil Nadu,50.535714285714285
2379,Cuddalore,2024-11,Tamil Nadu,63.80952380952381
2380,Cuddalore,2024-12,Tamil Nadu,69.47058823529412
2381,Cuddalore,2025-01,Tamil Nadu,92.57142857142857
2382,Cuddalore,2025-02,Tamil Nadu,64.20833333333333
2383,Cuddalore,2025-03,Tamil Nadu,62.30769230769231
2384,Cuddalore,2025-04,Tamil Nadu,35.64
2385,Cuttack,2023-11,Odisha,184.3448275862069
2386,Cuttack,2023-12,Odisha,218.03333333333333
2387,Cuttack,2024-01,Odisha,270.16129032258067
2388,Cuttack,2024-02,Odisha,148.31034482758622
2389,Cuttack,2024-03,Odisha,94.16129032258064
2390,Cuttack,2024-04,Odisha,126.0
2391,Cuttack,2024-05,Odisha,65.07692307692308
2392,Cuttack,2024-06,Odisha,66.72413793103448
2393,Cuttack,2024-07,Odisha,50.172413793103445
2394,Cuttack,2024-08,Odisha,46.285714285714285
2395,Cuttack,2024-09,Odisha,52.55555555555556
2396,Cuttack,2024-10,Odisha,71.36666666666666
2397,Cuttack,2024-11,Odisha,148.68965517241378
2398,Cuttack,2024-12,Odisha,180.6206896551724
2399,Cuttack,2025-01,Odisha,190.42857142857142
2400,Cuttack,2025-02,Odisha,134.45833333333334
2401,Cuttack,2025-03,Odisha,149.0344827586207
2402,Cuttack,2025-04,Odisha,93.46666666666667
2403,Damoh,2022-04,Madhya Pradesh,58.766666666666666
2404,Damoh,2022-05,Madhya Pradesh,58.38461538461539
2405,Damoh,2022-06,Madhya Pradesh,48.64
2406,Damoh,2022-07,Madhya Pradesh,23.5
2407,Damoh,2022-08,Madhya Pradesh,26.346153846153847
2408,Damoh,2022-09,Madhya Pradesh,43.0
2409,Damoh,2022-10,Madhya Pradesh,80.42105263157895
2410,Damoh,2022-11,Madhya Pradesh,95.85714285714286
2411,Damoh,2022-12,Madhya Pradesh,58.8
2412,Damoh,2023-01,Madhya Pradesh,54.46153846153846
2413,Damoh,2023-02,Madhya Pradesh,42.04
2414,Damoh,2023-03,Madhya Pradesh,32.03703703703704
2415,Damoh,2023-04,Madhya Pradesh,25.652173913043477
2416,Damoh,2023-05,Madhya Pradesh,24.428571428571427
2417,Damoh,2023-06,Madhya Pradesh,22.379310344827587
2418,Damoh,2023-07,Madhya Pradesh,25.233333333333334
2419,Damoh,2023-08,Madhya Pradesh,55.06896551724138
2420,Damoh,2023-09,Madhya Pradesh,44.035714285714285
2421,Damoh,2023-10,Madhya Pradesh,52.32258064516129
2422,Damoh,2023-11,Madhya Pradesh,65.1875
2423,Damoh,2023-12,Madhya Pradesh,69.42307692307692
2424,Damoh,2024-01,Madhya Pradesh,74.5
2425,Damoh,2024-06,Madhya Pradesh,46.5
2426,Damoh,2024-07,Madhya Pradesh,43.526315789473685
2427,Damoh,2024-08,Madhya Pradesh,49.0625
2428,Damoh,2024-09,Madhya Pradesh,59.25
2429,Damoh,2024-10,Madhya Pradesh,101.87096774193549
2430,Damoh,2024-11,Madhya Pradesh,119.03571428571429
2431,Damoh,2024-12,Madhya Pradesh,141.96428571428572
2432,Damoh,2025-01,Madhya Pradesh,94.58333333333333
2433,Damoh,2025-02,Madhya Pradesh,53.64
2434,Damoh,2025-03,Madhya Pradesh,38.86206896551724
2435,Damoh,2025-04,Madhya Pradesh,83.2
2436,Darbhanga,2022-04,Bihar,203.16
2437,Darbhanga,2022-05,Bihar,118.72727272727273
2438,Darbhanga,2022-06,Bihar,106.56
2439,Darbhanga,2022-07,Bihar,85.0
2440,Darbhanga,2022-08,Bihar,67.0
2441,Darbhanga,2022-09,Bihar,60.370370370370374
2442,Darbhanga,2022-10,Bihar,186.75
2443,Darbhanga,2022-11,Bihar,338.41379310344826
2444,Darbhanga,2022-12,Bihar,409.1
